Date,F1 : Thermique non renouvelable,F2 : Bioénergies,F3 : Hydraulique,F4 : Eolien,F5 : Solaire,F6 : Autres
20180101,38108814736.0,14993017233.0,15318244446.0,208041620864.0,7040696480.0,137993136.0
20180102,38622013164.0,14573148237.0,15797556287.0,152566209198.0,5392546483.0,136383120.0
20180103,38126464744.0,14144173844.0,15254256947.0,208191871864.0,5503013429.0,230064480.0
20180104,38525168265.0,14866259343.0,13982201054.0,190591922696.0,5847941971.0,327682464.0
20180105,38915425504.0,14914843177.0,13667017668.0,114003392195.0,7785437582.0,328796976.0
20180106,39593316060.0,15442749678.0,14594323850.0,39398849034.0,4867200311.0,377256288.0
20180107,39528865063.0,14900190174.0,15160078354.0,176896272200.0,4371841900.0,351521472.0
20180108,39271230828.0,14237480008.0,15762853304.0,86324494028.0,6020867465.0,358596144.0
20180109,38938261601.0,14616131511.0,16207741021.0,57021822033.0,8122801844.0,363356640.0
20180110,38988760612.0,14868465840.0,16773805411.0,54275507368.0,9566976893.0,356802480.0
20180111,38965091566.0,15022936506.0,17326139354.0,27089721866.0,9256694374.0,390981984.0
20180112,39323388231.0,15414102675.0,17434263521.0,22683907364.0,9475259560.0,360091152.0
20180113,39755981914.0,15686395675.0,17065887688.0,69113824698.0,9002376487.0,369276000.0
20180114,39957664487.0,15593216343.0,16930988736.0,37502504365.0,6643339130.0,385147152.0
20180115,39384676317.0,14973467179.0,16784920151.0,171313221535.0,6665274739.0,365910288.0
20180116,38963253057.0,15051189008.0,17038819258.0,212570733033.0,6971842097.0,355729152.0
20180117,39279993299.0,14809149344.0,16834646199.0,207024184699.0,12756796661.0,395116320.0
20180118,39751660678.0,14945774007.0,16784009087.0,200957608699.0,9186806072.0,368502144.0
20180119,39646087075.0,15198159342.0,16487098363.0,108215907700.0,11492651103.0,366779136.0
20180120,40136198836.0,15268256176.0,16233221198.0,144520298365.0,4720800076.0,347607312.0
20180121,39964170239.0,15152180009.0,14835590532.0,99645198531.0,7846578773.0,378240816.0
20180122,39134645575.0,14562387343.0,14603843775.0,135392443701.0,6937970129.0,376645488.0
20180123,39353521989.0,14480777675.0,15106876146.0,105607582698.0,11559256119.0,421580832.0
20180124,39157313430.0,15034604509.0,15949651183.0,170547895699.0,13528178305.0,426673152.0
20180125,39513648362.0,15164739842.0,17254552514.0,80476290862.0,4422516323.0,381228144.0
20180126,39967339386.0,14879749174.0,17607394023.0,35264163696.0,8009370286.0,385211808.0
20180127,39940320529.0,15543435509.0,17534965674.0,48761633865.0,9955673727.0,377621664.0
